Time,Battery_Power_kW,SOC,Electricity_Price,PV_Power_kW,Wind_Power_kW,Load_kW,grid_purchase_cost,grid_sales_revenue,battery_loss_cost,battery_aging_cost,network_loss_cost,total_revenue,Battery_Remaining_Capacity_Percent,Battery_Cycles,Battery_Avg_DoD_Percent,Line_Losses_kW,Grid_Power_kW,Voltage_Bus_0_pu,Voltage_Bus_1_pu,Voltage_Bus_2_pu,Voltage_Bus_3_pu,Line_0_Loading_Percent,Line_1_Loading_Percent,Line_2_Loading_Percent,Line_3_Loading_Percent
2025-01-12,-69567358.23050176,0.0,0.18,70.77771318799562,22.42194973524552,126.96287859122612,12522130.558869135,0.0,1080444320132.774,0.0,0.0,-540234682196.9459,100.0,0.0,50.0,1391349.7038676068,69567391.99371742,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-13,-71183713.65345623,0.0,0.19,52.00205069674226,44.6758740973715,151.4609712582059,13524916.00293551,0.0,1131234528392.5662,0.0,0.0,-565630789112.286,100.0,0.0,50.0,1423677.3022885495,71183768.43650268,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-14,-72803038.84586495,0.0,0.2,62.14246990675975,3.755156872309785,133.24583948480048,14560621.238815535,0.0,1183287799719.3508,0.0,0.0,-591658460480.9142,100.0,0.0,50.0,1456063.4418340889,72803106.19407766,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-15,-74420874.15353577,0.0,0.22,62.06192619719964,7.138821313342817,144.5506239619115,16372608.890750691,0.0,1236462381880.8533,0.0,0.0,-618247563549.3174,100.0,0.0,50.0,1488420.3740831946,74420949.50341223,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-16,-76038739.4612529,0.0,0.19,62.321419437232215,10.161587807241972,134.72791013050352,14447372.3241696,0.0,1290806647700.9812,0.0,0.0,-645417771222.8148,100.0,0.0,50.0,1520777.4837832607,76038801.70615579,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-17,-77447949.73002787,0.0,0.19,58.17814828882486,38.70085189830268,140.56190459297872,14715118.748457132,0.0,1339094505542.5244,0.0,0.0,-669561967890.0106,100.0,0.0,50.0,1548961.8058386494,77447993.41293228,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-18,-79274430.07665266,0.0,0.17,31.492184781682354,10.512579836237187,141.3078878216118,13476669.994561898,0.0,1402999888880.6494,0.0,0.0,-701513421110.3192,100.0,0.0,50.0,1585491.4276908096,79274529.37977587,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-19,-80892255.38430673,0.0,0.21,48.106154961044595,50.34388391021182,131.17592475471477,16987380.50314045,0.0,1460848806449.6738,0.0,0.0,-730441390605.3401,100.0,0.0,50.0,1617847.7312046296,80892288.1101926,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-20,-82494943.43493178,0.0,0.2,70.4455884767346,35.67339725849991,153.14836957740764,16498998.092863126,0.0,1519308757981.3542,0.0,0.0,-759670877988.77,100.0,0.0,50.0,1649901.9316660273,82494990.46431562,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-21,-84127965.99970376,0.0,0.19,23.396770365056003,28.12643964340134,147.70371905411122,15984331.814240435,0.0,1580054847391.844,0.0,0.0,-790043408027.7362,100.0,0.0,50.0,1682562.2740684564,84128062.18021278,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-22,-85745801.30738692,0.0,0.2,20.47994148239043,31.156494612343323,152.3059703637973,17149180.39538424,0.0,1641410143172.123,0.0,0.0,-820722220766.4569,100.0,0.0,50.0,1714919.0722671458,85745901.97692117,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-23,-87363646.61507697,0.0,0.2,28.378594028592584,37.36691008049018,151.05516581197418,17472746.384947736,0.0,1703934494149.759,0.0,0.0,-851984719821.2644,100.0,0.0,50.0,1747275.9534048557,87363731.92473866,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-24,-88981501.9227741,0.0,0.19,92.25440969752468,27.7093612720942,142.7411994067104,16906489.693038482,0.0,1767627921995.8125,0.0,0.0,-883830867487.5992,100.0,0.0,50.0,1779632.8932794703,88981524.70020251,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-25,-90479815.20642221,0.0,0.18,80.8837951746276,57.03044801088471,151.81247858064728,16286369.238838369,0.0,1827657447355.002,0.0,0.0,-913845010046.7399,100.0,0.0,50.0,1809599.340378016,90479829.1046576,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-26,-92097660.51411201,0.0,0.18,71.33224391601325,60.097371042334835,128.47779005745375,16577578.361211678,0.0,1893601498152.914,0.0,0.0,-946817326654.8182,100.0,0.0,50.0,1841955.7798380414,92097657.56228709,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-27,-93540732.18975784,0.0,0.24,45.65228224758672,58.52223718283242,131.48752014773606,22449782.280662052,0.0,1953407825295.7354,0.0,0.0,-976726362430.1483,100.0,0.0,50.0,1870817.2735455597,93540759.50275853,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-28,-95452863.15355207,0.0,0.22,92.39095942548407,30.602739263095245,127.26636408949507,20999630.833767843,0.0,2034086016328.7969,0.0,0.0,-1017064007795.2322,100.0,0.0,50.0,1909059.8083983231,95452867.42621747,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-29,-97070728.4612249,0.0,0.19,82.44523819235881,39.79534609518346,135.10924926137142,18443440.852679078,0.0,2103623304318.1973,0.0,0.0,-1051830095599.9513,100.0,0.0,50.0,1941417.2714094834,97070741.32988986,1.0,1.0,1.0,1.0,0,0,0,0
2025-01-30,-98675522.21227469,0.0,0.19,27.09439666505093,30.07808527403334,136.88296411130548,18748364.3653238,0.0,2173753347914.5173,0.0,0.0,-1086895422321.624,100.0,0.0,50.0,1973513.1819047758,98675601.92275688,1.0,1.0,1.0,1.0,0,0,0,0
